,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
656,PPC,HSX,STOCK,Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,STO
657,POW,HSX,STOCK,Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,STO
658,POV,UPCOM,STOCK,PV Oil Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,UPX
659,POT,HNX,STOCK,Thiết bị Bưu điện Postef,Công ty Cổ phần Thiết bị Bưu điện,STX
660,POS,UPCOM,STOCK,Vận hành và Xây lắp PTSC,Công ty Cổ phần Vận hành và Xây lắp PTSC,UPX
661,POM,UPCOM,STOCK,Thép Pomina,Công ty Cổ phần Thép Pomina,UPX
662,POB,UPCOM,STOCK,PVOIL Hưng Yên,Công ty Cổ phần Xăng dầu Dầu khí Hưng Yên,UPX
663,PNT,UPCOM,STOCK,Kỹ thuật XD Phú Nhuận,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,UPX
664,PNP,UPCOM,STOCK,Tân Cảng - Phú Hữu,Công ty Cổ phần Tân Cảng – Phú Hữu,UPX
665,PNJ,HSX,STOCK,Vàng Phú Nhuận,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,STO
666,PNG,UPCOM,STOCK,Thương Mại Phú Nhuận,Công ty Cổ phần Thương Mại Phú Nhuận,UPX
667,PND,UPCOM,STOCK,Xăng dầu Dầu khí Nam Định,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,UPX
668,PNC,HSX,STOCK,Văn hóa Phương Nam,Công ty Cổ phần Văn hóa Phương Nam,STO
669,PMW,UPCOM,STOCK,Cấp Nước Phú Mỹ,Công ty Cổ phần Cấp Nước Phú Mỹ,UPX
670,PMT,UPCOM,STOCK,Telvina Việt Nam,Công ty Cổ phần Viễn thông Telvina Việt Nam,UPX
671,PMS,HNX,STOCK,Cơ khí xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu,STX
672,PMP,HNX,STOCK,Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,STX
673,PMJ,UPCOM,STOCK,Vật tư Bưu điện,Công ty Cổ phần Vật tư Bưu điện,UPX
674,PMG,HSX,STOCK,ĐT và SX Petro Miền Trung,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,STO
675,PMC,HNX,STOCK,Pharmedic,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,STX
676,PMB,HNX,STOCK,Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,STX
677,PLX,HSX,STOCK,Petrolimex,Tập đoàn Xăng dầu Việt Nam,STO
678,PLP,HSX,STOCK,SX và CN Nhựa Pha Lê,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,STO
679,PLO,UPCOM,STOCK,Kho vận Petec,Công ty Cổ phần Kho vận Petec,UPX
680,PLE,UPCOM,STOCK,Tư vấn Xây dựng Petrolimex,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,UPX
681,PLC,HNX,STOCK,Hóa dầu Petrolimex,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,STX
682,PLA,UPCOM,STOCK,ĐT&DV Hạ tầng Xăng dầu (PLAND),Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,UPX
683,PJT,HSX,STOCK,Vận tải thủy PETROLIMEX,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,STO
684,PJS,UPCOM,STOCK,Cấp nước Phú Hòa Tân,Công ty Cổ phần Cấp nước Phú Hòa Tân,UPX
685,PJC,HNX,STOCK,TM và Vận tải Petrolimex HN,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,STX
686,PIV,UPCOM,STOCK,PIV JSC,Công ty Cổ phần PIV,UPX
687,PIT,HSX,STOCK,XNK PETROLIMEX,Công ty Cổ phần Xuất nhập khẩu Petrolimex,STO
688,PIS,UPCOM,STOCK,Pisico Bình Định,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,UPX
689,PID,UPCOM,STOCK,Trang trí nội thất Dầu khí,Công ty Cổ phần Trang trí nội thất Dầu khí,UPX
690,PIC,HNX,STOCK,Đầu tư Điện lực 3,Công ty Cổ phần Đầu tư Điện lực 3,STX
691,PIA,HNX,STOCK,Tin học Viễn thông Petrolimex,Công ty Cổ phần Tin học Viễn thông Petrolimex,STX
692,PHS,UPCOM,STOCK,Chứng khoán Phú Hưng,Công ty Cổ phần Chứng khoán Phú Hưng,UPX
693,PHR,HSX,STOCK,Cao su Phước Hòa,Công ty Cổ phần Cao su Phước Hòa,STO
694,PHP,UPCOM,STOCK,Cảng Hải Phòng,Công ty Cổ phần Cảng Hải Phòng,UPX
695,PHN,HNX,STOCK,Pin Hà Nội,Công ty Cổ phần Pin Hà Nội,STX
696,PHH,UPCOM,STOCK,Hồng Hà Việt Nam,Công ty Cổ phần Hồng Hà Việt Nam,UPX
697,PHC,HSX,STOCK,Xây dựng Phục Hưng Holdings,Công ty Cổ phần Xây dựng Phục Hưng Holdings,STO
